t,q1,q2,q3,q4,q5,q6,q7,qp1,qp2,qp3,qp4,qp5,qp6,qp7,xd,yd,zd,vxd,vyd,vzd,wxd,wyd,wzd,x,y,z,vx,vy,vz,wx,wy,wz
1.8e-06,1.27977e-14,-1.10828,4.85938e-15,2.21657,-2.46851e-14,0.610865,2.6734e-14,7.10985e-09,-5.94273e-07,2.69966e-09,3.28433e-07,-1.3714e-08,2.6584e-07,1.48522e-08,0,0,0,-1.49052e-07,0,-1.49052e-07,0,0,0,0.0702507,-0.0246,0.588057,0,0,0,0,0,0
0.0027947,-1.61879e-08,-1.10828,-6.14666e-09,2.21657,3.12243e-08,0.610863,-3.3816e-08,-5.7961e-06,-0.000301383,-2.20082e-06,0.00104873,1.11799e-05,-0.000747343,-1.21079e-05,0,0,0,4.83748e-05,0,-0.000323683,0,0,0,0.0702509,-0.0246,0.588056,0,0,0,0,0,0
0.0048933,-3.74852e-08,-1.10829,-1.42334e-08,2.21657,7.23041e-08,0.61086,-7.83055e-08,-1.01483e-05,-0.000527705,-3.85339e-06,0.00183623,1.95748e-05,-0.00130853,-2.11996e-05,0,0,0,8.46972e-05,0,-0.000566744,0,0,0,0.0702511,-0.0246,0.588055,0,0,0,0,0,0
0.0063061,-5.59615e-08,-1.10829,-2.1249e-08,2.21658,1.07943e-07,0.610858,-1.16903e-07,-1.30778e-05,-0.000680086,-4.96575e-06,0.00236639,2.52257e-05,-0.0016863,-2.73196e-05,0,0,0,0.000109142,0,-0.000730377,0,0,0,0.0702512,-0.0246,0.588054,0,0,0,0,0,0
0.0075778,-7.59457e-08,-1.10829,-2.88371e-08,2.21658,1.4649e-07,0.610855,-1.5865e-07,-1.57145e-05,-0.000817258,-5.96693e-06,0.00284359,3.03118e-05,-0.00202633,-3.28278e-05,0,0,0,0.000131142,0,-0.000877667,0,0,0,0.0702514,-0.0246,0.588052,0,0,0,0,0,0
0.0087776,-9.77842e-08,-1.10829,-3.71294e-08,2.21659,1.88615e-07,0.610853,-2.04271e-07,-1.82018e-05,-0.000946688,-6.9114e-06,0.00329381,3.51098e-05,-0.00234713,-3.80242e-05,0,0,0,0.000151893,0,-0.00101663,0,0,0,0.0702516,-0.0246,0.588051,0,0,0,0,0,0
0.0097777,-1.18061e-07,-1.10829,-4.48287e-08,2.21659,2.27728e-07,0.61085,-2.4663e-07,-2.02747e-05,-0.00105459,-7.69851e-06,0.00366909,3.91085e-05,-0.0026145,-4.23549e-05,0,0,0,0.000169183,0,-0.00113247,0,0,0,0.0702517,-0.0246,0.58805,0,0,0,0,0,0
0.0107778,-1.40411e-07,-1.10829,-5.33151e-08,2.21659,2.70839e-07,0.610847,-2.9332e-07,-2.23475e-05,-0.0011625,-8.48557e-06,0.00404437,4.3107e-05,-0.00288187,-4.66854e-05,0,0,0,0.000186471,0,-0.0012483,0,0,0,0.0702519,-0.0246,0.588049,0,0,0,0,0,0
0.0125026,-1.85122e-07,-1.10829,-7.02924e-08,2.2166,3.57085e-07,0.610841,-3.86726e-07,-2.59225e-05,-0.00134859,-9.84307e-06,0.00469159,5.00034e-05,-0.003343,-5.41544e-05,0,0,0,0.00021629,0,-0.00144807,0,0,0,0.0702523,-0.0246,0.588046,0,0,0,0,0,0
0.0137067,-2.19338e-07,-1.1083,-8.32847e-08,2.21661,4.23087e-07,0.610837,-4.58207e-07,-2.84162e-05,-0.00147859,-1.079e-05,0.0051434,5.48146e-05,-0.00366481,-5.93651e-05,0,0,0,0.000237074,0,-0.00158754,0,0,0,0.0702526,-0.0246,0.588044,0,0,0,0,0,0
0.0149611,-2.58242e-07,-1.1083,-9.80573e-08,2.21661,4.98134e-07,0.610832,-5.39485e-07,-3.10144e-05,-0.00161401,-1.17766e-05,0.00561409,5.98271e-05,-0.00400008,-6.4794e-05,0,0,0,0.00025873,0,-0.00173284,0,0,0,0.0702529,-0.0246,0.588042,0,0,0,0,0,0
0.0159614,-2.91337e-07,-1.1083,-1.10624e-07,2.21662,5.61976e-07,0.610828,-6.08627e-07,-3.30851e-05,-0.00172204,-1.25629e-05,0.00598942,6.38224e-05,-0.00426738,-6.91212e-05,0,0,0,0.00027598,0,-0.0018487,0,0,0,0.0702532,-0.0246,0.58804,0,0,0,0,0,0
0.0173028,-3.39444e-07,-1.1083,-1.28891e-07,2.21663,6.54776e-07,0.610821,-7.09132e-07,-3.58629e-05,-0.00186688,-1.36178e-05,0.00649275,6.91816e-05,-0.00462587,-7.49255e-05,0,0,0,0.000299129,0,-0.00200407,0,0,0,0.0702536,-0.0246,0.588038,0,0,0,0,0,0
0.0188997,-4.01992e-07,-1.1083,-1.52642e-07,2.21664,7.75437e-07,0.610813,-8.39811e-07,-3.91684e-05,-0.00203935,-1.4873e-05,0.00709193,7.55595e-05,-0.00505258,-8.18332e-05,0,0,0,0.000326664,0,-0.00218904,0,0,0,0.0702541,-0.0246,0.588034,0,0,0,0,0,0
0.020086,-4.51367e-07,-1.10831,-1.7139e-07,2.21665,8.70688e-07,0.610807,-9.42972e-07,-4.16211e-05,-0.0021676,-1.58044e-05,0.00753702,8.02926e-05,-0.00536941,-8.69597e-05,0,0,0,0.00034707,0,-0.00232646,0,0,0,0.0702545,-0.0246,0.588031,0,0,0,0,0,0
0.0211958,-5.00105e-07,-1.10831,-1.89897e-07,2.21666,9.64711e-07,0.610801,-1.0448e-06,-4.39158e-05,-0.00228758,-1.66758e-05,0.00795341,8.47208e-05,-0.00566583,-9.17559e-05,0,0,0,0.000366163,0,-0.00245501,0,0,0,0.0702549,-0.0246,0.588029,0,0,0,0,0,0
0.0224332,-5.57612e-07,-1.10831,-2.11734e-07,2.21667,1.07565e-06,0.610793,-1.16496e-06,-4.64743e-05,-0.00242134,-1.76475e-05,0.00841767,8.96582e-05,-0.00599633,-9.71037e-05,0,0,0,0.000387452,0,-0.00259835,0,0,0,0.0702554,-0.0246,0.588026,0,0,0,0,0,0
0.0241023,-6.40943e-07,-1.10832,-2.43377e-07,2.21668,1.23642e-06,0.610783,-1.33907e-06,-4.99256e-05,-0.00260178,-1.89581e-05,0.00904391,9.63182e-05,-0.00644213,-0.000104317,0,0,0,0.00041617,0,-0.00279169,0,0,0,0.0702561,-0.0246,0.588021,0,0,0,0,0,0
0.0251569,-6.95888e-07,-1.10832,-2.64241e-07,2.21669,1.34242e-06,0.610775,-1.45388e-06,-5.21001e-05,-0.00271603,-1.9784e-05,0.00943953,0.000100516,-0.0067235,-0.000108865,0,0,0,0.000434214,0,-0.00291387,0,0,0,0.0702565,-0.0246,0.588018,0,0,0,0,0,0
