t,q1,q2,q3,q4,q5,q6,q7,qp1,qp2,qp3,qp4,qp5,qp6,qp7,xd,yd,zd,vxd,vyd,vzd,wxd,wyd,wzd,x,y,z,vx,vy,vz,wx,wy,wz
3.4e-06,7.7268e-14,-1.10828,2.93391e-14,2.21657,-1.4904e-13,0.610865,1.6141e-13,2.27259e-08,-1.05855e-06,8.62916e-09,-3.59038e-07,-4.38352e-08,1.41758e-06,4.74736e-08,0.0702507,0.0246,0.588057,-3.98163e-07,0,3.36884e-18,0,0,0,0.0702507,-0.0246,0.588057,-3.98163e-07,1.73965e-19,1.69645e-18,-1.6083e-19,-5.0822e-21,4.33708e-19
0.0020805,2.88847e-08,-1.10829,1.09677e-08,2.21657,-5.57147e-08,0.610867,6.03392e-08,1.39062e-05,-0.000647735,5.28029e-06,-0.000219702,-2.68233e-05,0.000867437,2.90497e-05,0.0702505,0.0246,0.588057,-0.00024364,0,7.71874e-10,0,0,0,0.0702507,-0.0246,0.588057,-0.000243641,3.97934e-11,3.89273e-10,-3.67889e-11,-1.06483e-12,9.92179e-11
0.0030806,4.94779e-08,-1.10829,1.87871e-08,2.21657,-9.5436e-08,0.610868,1.03357e-07,2.05911e-05,-0.0009591,7.81865e-06,-0.000325319,-3.97173e-05,0.00128442,4.3014e-05,0.0702502,0.0246,0.588057,-0.000360759,0,2.50582e-09,0,0,0,0.0702502,-0.0246,0.588057,-0.000360759,4.20082e-11,2.10192e-09,-3.88366e-11,-1.1241e-12,1.0474e-10
0.0043489,8.63458e-08,-1.10829,3.27863e-08,2.21657,-1.66549e-07,0.610871,1.80373e-07,2.90687e-05,-0.00135396,1.10378e-05,-0.000459267,-5.60692e-05,0.00181323,6.07232e-05,0.0702496,0.0246,0.588057,-0.000509285,0,7.04988e-09,0,0,0,0.0702499,-0.0246,0.588057,-0.000509285,1.0617e-10,6.02909e-09,-9.81552e-11,-2.84103e-12,2.64717e-10
0.0057647,1.409e-07,-1.10829,5.35016e-08,2.21657,-2.71775e-07,0.610874,2.94333e-07,3.85325e-05,-0.00179474,1.46315e-05,-0.000608808,-7.43228e-05,0.00240354,8.04921e-05,0.0702488,0.0246,0.588057,-0.000675085,0,1.642e-08,0,0,0,0.0702492,-0.0246,0.588057,-0.000675085,2.08247e-10,1.44178e-08,-1.92529e-10,-5.57262e-12,5.19228e-10
0.0069624,1.96639e-07,-1.10829,7.46672e-08,2.21657,-3.79286e-07,0.610878,4.10769e-07,4.65387e-05,-0.0021676,1.76719e-05,-0.000735332,-8.97646e-05,0.00290293,9.72159e-05,0.0702479,0.0246,0.588057,-0.000815343,0,2.89281e-08,0,0,0,0.0702483,-0.0246,0.588057,-0.000815344,2.56976e-10,2.64574e-08,-2.37582e-10,-6.8767e-12,6.40726e-10
0.0085201,2.85353e-07,-1.1083,1.08354e-07,2.21656,-5.50396e-07,0.610883,5.96083e-07,5.69515e-05,-0.00265253,2.16263e-05,-0.000899912,-0.000109848,0.00355244,0.000118967,0.0702465,0.0246,0.588057,-0.000997761,0,5.30124e-08,0,0,0,0.0702473,-0.0246,0.588057,-0.000997762,5.005e-10,4.82003e-08,-4.62737e-10,-1.33937e-11,1.24791e-09
0.0106203,4.34449e-07,-1.1083,1.64973e-07,2.21656,-8.37969e-07,0.610892,9.07528e-07,7.09914e-05,-0.00330631,2.69585e-05,-0.00112187,-0.000136926,0.00442818,0.000148293,0.0702441,0.0246,0.588057,-0.00124371,0,1.02672e-07,0,0,0,0.0702457,-0.0246,0.588057,-0.00124371,1.04851e-09,9.25916e-08,-9.69428e-10,-2.80597e-11,2.61429e-09
0.0116204,5.12136e-07,-1.10831,1.94475e-07,2.21656,-9.87804e-07,0.610897,1.0698e-06,7.76788e-05,-0.00361761,2.94995e-05,-0.00122762,-0.000149821,0.00484523,0.000162259,0.0702428,0.0246,0.588057,-0.00136083,0,1.34495e-07,0,0,0,0.0702431,-0.0246,0.588057,-0.00136083,5.97764e-10,1.28748e-07,-5.52689e-10,-1.59976e-11,1.49043e-09
0.0126205,5.9651e-07,-1.10831,2.26518e-07,2.21656,-1.15054e-06,0.610902,1.24605e-06,8.43656e-05,-0.00392891,3.20398e-05,-0.00133337,-0.000162716,0.00526228,0.000176225,0.0702414,0.0246,0.588057,-0.00147794,0,1.72295e-07,0,0,0,0.0702418,-0.0246,0.588057,-0.00147795,7.05092e-10,1.65516e-07,-6.51935e-10,-1.88705e-11,1.75803e-09
